Description,Job Title,Conpany,Size,Company Domain,What country is the job based in?
"About the job

Translation:
We’re building a chatbot that searches an SQL database: The user sends a question through the MCP Host. This is forwarded as a prompt to a (test-time scaling) LLM chain. After reasoning, the LLM chain generates the SQL query, which is passed to a Tool Agent that executes the query. The resulting JSON is sent to the Chat Agent, which responds in the chat interface. Which step in this process takes the longest and why?

If you know the answer and understand what we’re talking about, we’re looking for you!

Prompt Engineer – Technically Focused Role – Join Us!

We’re looking for a tech-oriented professional who enjoys working with AI solutions and creatively solving business challenges! We accelerate clients’ business processes with AI and automation tools, and now we’re looking for a team member who understands business needs and can assemble LLM-based systems to hand off for implementation by developers.

What You’ll Do

Automate business processes using AI and low-code/no-code tools

Understand business needs and translate them into functional AI systems

Configure and optimize LLM models

Collaborate with developers to bring your system designs to life

What We Expect From You

Experience with at least one no-code tool (e.g., Make.com, n8n)

Ability to configure and fine-tune LLMs (e.g., prompt optimization, handling API calls)

Familiarity with third-party AI tools and APIs

Proficiency in GPT and RAG systems

Experience using vector databases (e.g., Pinecone, FAISS, Weaviate) in AI applications

Confident spoken and written English

Nice to Have

Experience with databases (SQL, PostgreSQL) for AI integrations

Minimum 2 years of software development experience (e.g., Python, JavaScript)

Familiarity with Microsoft Power Automate or other workflow automation tools

Why Work With Us

Work on real business problems using cutting-edge AI solutions

Flexible, supportive team and continuous professional development opportunities

Try out and apply new AI technologies in production

Work fully remotely, with optional access to our office in Budapest’s 13th district

Work Setup

You can work fully remotely, but are welcome to use our office in Budapest’s 13th district any time

If you love technology, AI, and the challenge of automating business processes excites you, we look forward to your application!

Bonus: We’ve hidden an error in the intro text — if you find it, mention it in your application.",Prompt Engineer,Stylers Group,11-50 employees,Information Technology & Services,Hungary
"About the job
About the Role:

We are seeking a highly skilled Prompt Engineer / System Engineer to join our multidisciplinary team working at the intersection of artificial intelligence, systems architecture, and infrastructure reliability. This role is ideal for someone with a deep understanding of large language models (LLMs), prompt design, and system engineering principles to help build, optimize, and maintain scalable, AI-driven solutions.


Key Responsibilities:

Prompt Engineering

Design, test, and refine prompts to optimize performance of large language models (e.g., GPT-4, Claude, LLaMA).
Develop prompt templates and reusable patterns for various use cases, including classification, summarization, generation, and dialogue.
Collaborate with product and data teams to understand use case requirements and translate them into effective prompt strategies.
Evaluate LLM responses and fine-tune prompts to reduce hallucinations, bias, or inappropriate content.
System Engineering

Design and maintain scalable infrastructure for AI services, APIs, and model inference pipelines (on-prem or cloud).
Automate deployment and monitoring of AI components using CI/CD tools (e.g., Azure DevOps, GitHub Actions, Jenkins).
Implement robust logging, observability, and performance monitoring for AI applications.
Ensure system security, data privacy, and compliance with internal and external standards.


Required Qualifications:

Bachelor’s or Master’s degree in Computer Science, Engineering, or a related field.
3+ years of experience in system engineering, DevOps, or backend development.
Experience with AI/LLM platforms like OpenAI, Anthropic, Cohere, or open-source models (e.g., Hugging Face).
Strong skills in scripting and automation (e.g., Python, Bash).
Familiarity with containerization (Docker, Kubernetes) and cloud services (Azure, AWS, or GCP).
Understanding of prompt engineering techniques, LLM limitations, and evaluation metrics.
Preferred Qualifications:

Experience fine-tuning or deploying custom LLMs.
Knowledge of NLP concepts and transformer architectures.
Familiarity with RAG (Retrieval-Augmented Generation), vector databases, and embeddings (e.g., FAISS, Qdrant, Pinecone).
Experience with MLOps pipelines and model lifecycle management.
Security awareness in AI deployments (e.g., token protection, output filtering).
Why Join Us?

Be part of a cutting-edge AI engineering team driving real-world innovation.
Work on impactful projects combining infrastructure reliability with next-gen AI capabilities.
Enjoy a flexible work environment and opportunities for continued learning and growth.

",Prompt Engineer / System Engineer, Manpower Hungary,51-200 employees,Staffing and Recruiting,Hungary
"About the job
About CalypsoAI

CalypsoAI, established in 2018, is dedicated to securing the future of artificial intelligence by enabling enterprises to innovate confidently with cutting-edge security and compliance solutions. Our mission is to forge a secure path for safe AI adoption, empowering organisations to leverage AI technologies responsibly and without risk.

At CalypsoAI, we believe that securing the future of AI demands innovative thinkers from diverse disciplines and backgrounds. We are committed to building an elite team to advance groundbreaking technology and ensure businesses and society thrive with confidence.

Role Summary: 

CalypsoAI is seeking a creative, analytical, and meticulous Prompt Engineer to join our dynamic team in Dublin. In this role, you will specialise in designing, refining, testing, and evaluating prompts to interact effectively and securely with Large Language Models (LLMs) and our cutting-edge agentic systems. Your expertise will be crucial in enhancing the capabilities of our AI security platform – contributing directly to our AI red-teaming tools and informing the design of robust AI defences.

Key Responsibilities: 

Design, develop, and iterate on high-quality prompts for various LLMs and agentic systems to achieve specific goals related to AI security testing, red-teaming exercises (e.g., simulating prompt injection, jailbreaking, data elicitation), and defence validation
Analyse LLM outputs, identify failure modes or unexpected behaviours, and systematically refine prompts to improve performance, reliability, and safety
Develop and experiment with advanced prompting techniques (e.g., few-shot, chain-of-thought, structured prompting, role-playing) to maximise model capabilities relevant to security assessments
Collaborate closely with AI Researchers and Engineers to integrate effective prompts into CalypsoAI's security platform, red-teaming agents, and defensive solutions
Create and maintain a library of effective prompts, techniques, and best practices for internal use
Stay abreast of the latest developments in LLMs, prompt engineering methodologies, agentic AI frameworks, and AI security vulnerabilities
Document prompt design processes, experimental results, and performance evaluations clearly
Assist in evaluating the effectiveness and security implications of different prompting strategies

Required Qualifications: 

Bachelor's degree in Computer Science, Data Science, Linguistics, Cognitive Science, Human-Computer Interaction, or a related field, OR equivalent significant practical experience in prompt engineering
Proven hands-on experience designing, testing, and refining prompts for large language models (e.g., GPT series, Claude, Llama, etc.)
Strong understanding of LLM capabilities, limitations, common failure modes, and alignment techniques
Familiarity with various prompt engineering techniques and strategies
Excellent analytical and problem-solving skills with meticulous attention to detail
Exceptional written and verbal communication skills
A keen interest in Artificial Intelligence, Natural Language Processing, and particularly AI Security. 

Preferred Qualifications

Demonstrable experience applying prompt engineering, specifically within an AI security, red-teaming, or vulnerability testing context
Experience interacting with or developing for agentic AI systems or frameworks (e.g., LangChain, Auto-GPT concepts)
Basic scripting skills (e.g., Python) for prompt testing automation or analysis
Familiarity with methods for evaluating LLM performance and safety
Experience working with APIs for major LLM providers
A portfolio of examples showcasing creative and effective prompt engineering work
Understanding of adversarial attacks against NLP models

Life at CalypsoAI

At CalypsoAI, we believe that our people are the driving force behind our success. We foster a dynamic, collaborative, and inclusive work environment where innovation thrives, and employees feel empowered to make a real impact. Whether you’re working remotely or at one of our offices, we ensure you have the tools, flexibility, and support to do your best work.

Location

Work on a hybrid schedule:

Dublin Office: Thursdays
Remotely or Dublin Office: Monday, Tuesday, Wednesday and Friday

Our Benefits & Perks

We offer a competitive benefits package designed to support your well-being, growth, and work-life balance:

✅ 25 Days Annual Leave – We believe in the importance of rest and recharge. Enjoy generous time off to relax and pursue personal passions.

✅ Fully Covered Health & Dental Insurance – Your well-being is our priority. We provide comprehensive health and dental coverage to keep you and your family protected.

✅ Pension Plan (Up to 3% Employer Match) – We invest in your future with a competitive pension plan, matching contributions up to 3%.

✅ TaxSaver & Bike to Work Scheme – Save on commuting costs with our tax-efficient travel benefits, whether you prefer public transport or cycling.

✅ Income Protection – We offer financial security and peace of mind in the event of unforeseen circumstances.

✅ Hybrid Working – We embrace flexibility, offering a hybrid work model that allows you to balance in-office collaboration with remote work.

✅ Dublin City Centre Office – Our modern, conveniently located office in the heart of Dublin provides an inspiring space for collaboration and connection.

✅ Catered Lunch Twice a Week – For those working from the office, we provide delicious, catered lunches twice a week to fuel your productivity and connection with colleagues.

✅ Quarterly Social Events – We love bringing our teams together! From team outings to special events, we ensure there are plenty of opportunities to connect and have fun.

✅ Annual CalypsoAI Day – Each year, we dedicate a special volunteering day for employees to contribute to causes that matter.

✅ Learning & Development Platforms – We support continuous growth with access to online learning platforms, helping employees upskill and stay ahead in their careers.

✅ Work from Anywhere (Up to 3 Weeks Per Year) – Enjoy the freedom to work from anywhere in the world for up to three weeks each year.

✅ Increased Benefits with Tenure – At CalypsoAI, we recognise and reward long-term dedication. As you grow with us, you'll enjoy enhanced pension contributions and additional annual leave, ensuring your commitment is recognised and supported.

At CalypsoAI, you’ll be part of an ambitious, fast-growing team shaping the future of AI security. If you're looking for a role where you can make an impact while enjoying a supportive and rewarding work environment, we’d love to hear from you!

Powered by JazzHR

X31DiUF8IJ
",Prompt Engineer,CalypsoAI,51-200 employees,Software Development,Ireland
"About the job
Bhblasted is a cutting-edge benefit corporation in the tech and digital sector, based in Caserta. A strong commitment to innovation and solid environmental, social, and civic responsibility are the values that guide every choice and activity of our group. Our business units and companies specialize in media management and performance advertising, research and development of advanced e-commerce solutions, and just-in-time and made-to-order clothing production.

We are looking for a Prompt Engineer to join our team.

What We Would Like You To Take Care Of

Design, write, test, and optimize prompts for generative AI models (e.g., GPT, Claude, Gemini).
Continuously refine prompts to improve clarity, precision, accuracy, and relevance.
Develop and implement prompt evaluation metrics to assess model accuracy, safety, quality, and alignment.
Analyze results, identify issues, and iterate for improvements.
Create comprehensive documentation for prompt standards, methodologies, and best practices.
Maintain prompt repositories to ensure version control, traceability, and reproducibility.
Collaborate with machine learning engineers, data scientists, product managers, and stakeholders to align with business objectives and user needs.
Develop prompts aligned with ethical standards, preventing harmful, biased, or inappropriate outputs.
Monitor outputs for safety and compliance, adjusting prompts accordingly.
Stay current with the latest developments, techniques, and best practices in prompt engineering.
Explore new prompting methods to enhance model performance and creativity.

What We Wish You’d Bring With

Bachelor's degree in Computer Science, Engineering, or a related field.
Proficiency in developing effective prompts tailored to specific tasks.
Familiarity with large language models (LLMs), natural language processing (NLP), and deep learning fundamentals.
Expertise in evaluation methodologies for assessing prompt quality, accuracy, and effectiveness.
Basic proficiency in Python and scripting for automation and analysis.
Strong analytical skills to interpret model outputs and prompt performance data.
Ability to explore innovative solutions and adapt to emerging technologies.
Quickly diagnose prompt-related issues and develop actionable solutions.
Strong communication skills and the ability to collaborate effectively with cross-functional teams.
Proficiency in English (both written and spoken).

NICE TO HAVE

Previous experience in product and/or service companies.
Experience working in medium-sized teams (1-3 members).

What We Would Like To Offer You

Join an innovative team in an incredibly exciting growth phase: become part of a Made in Italy success story.
Independence and full autonomy in shaping your work as you prefer and proposing changes that have a real impact.
Location: on-site, hybrid, or remote.
Relocation package to move to Caserta.
Tax consultancy service for Italians who wish to return after years abroad and can benefit from the “Rientro cervelli” program.
Innovative office in the heart of Caserta.
Plenty of team events & office snacks.
State-of-the-art hardware and software to make the magic happen!

D,E&I STATEMENT

At Bhblasted, we celebrate diversity and view it as an opportunity for growth and enrichment. In our organisation, we promote uniqueness and individuality, and we do not discriminate on the basis of disability, neurodiversity, gender identity, biological sex, sexual orientation, marital status, parental status (including pregnancy), age, ethnicity, origin, religion, political ideology, or other characteristics. Our selection processes are based on professional experience, attitude, and the talent of each candidate.

ESG STATEMENT

We are committed to minimising our environmental impact and promoting positive social change. Through the use of recycled, recyclable, and compostable packaging, and monitoring our emissions, waste, and energy consumption, we strive to minimise our footprint. At the same time, we partner with local, national, and international social organisations to create events, collaborations, and charitable initiatives that truly make a difference in our communities and beyond.

Find out more on our career page.

By applying to this job at this company, you're agreeing to the candidate data privacy policy published on the website of the company.",Prompt Engineer,Bhblasted Società Benefit, 51-200 employees,Professional Services,Italy
"About the job
Cosa Ti Proponiamo

All’interno della divisione ENG DIGITAL per la Business Line Eng Modernize siamo alla ricerca di una figura di Prompt Engineer, altamente analitico e orientato ai dettagli, con una solida esperienza nell'analisi funzionale e aziendale.

L’inserimento avverrà in un ambiente altamente dinamico, dove l'affidabilità, l’intraprendenza e la collaborazione vengono considerati valori fondamentali, e in cui poter costruire un percorso di crescita e formazione professionale.

Quali saranno le tue attività e responsabilità?

Analizzare i requisiti aziendali per creare descrizioni dettagliate di funzionalità, assicurandosi che siano Indipendenti, Negoziaibili, di Valore, Stimabili, Piccole e Testabili (principi INVEST);
Collaborare con gli stakeholder aziendali e i team tecnici per facilitare la comunicazione, comprendere le esigenze e tradurle in specifiche tecniche, garantendo una comprensione condivisa e un'implementazione efficace dei requisiti;
Sviluppare documentazione funzionale e tecnica dettagliata e chiara per guidare gli sviluppatori in tutte le fasi di sviluppo;
Utilizzare strumenti di AI generativa per migliorare la qualità e l'efficienza del processo di delivery del software, assicurandosi che i contenuti rispettino gli standard richiesti;
Lavorare a stretto contatto con team cross-funzionali, inclusi sviluppatori, QA e product manager, per garantire la consegna coesa dei progetti;
Partecipare a design e code review per assicurare l'aderenza alle best practice e agli standard.

Qualifiche e Competenze Richieste

Laurea triennale o magistrale STEM, Informatica, Economia;
Almeno 4 anni di esperienza nella scrittura di analisi funzionali in contesti di sviluppo software;
Esperienza nella scomposizione di requisiti aziendali complessi in tasks chiari e attuabili, rispettando i principi INVEST;
Competenza nell'uso di strumenti di AI generativa e nella loro integrazione nei flussi di lavoro di sviluppo;
Eccellenti capacità di pensiero analitico e problem-solving;
Ottime capacità comunicative e interpersonali, con la capacità di gestire diversi stakeholder;
Ottima conoscenza dell'inglese (parlato e scritto);

Cosa cerchiamo nelle nostre persone?

Ambizione, nel perseguire grandi obiettivi e nell'investire sul miglioramento continuo;
Proattività, nell’anticipare e affrontare le sfide con iniziativa;
Trasparenza, nel comunicare apertamente e fornire feedback costruttivi;
Motivazione a migliorare e a crescere insieme agli altri, manifestando apertura al confronto per favorire la crescita collettiva e il raggiungimento degli obiettivi comuni.

Invia la tua candidatura e raccontaci come puoi fare la differenza.

SEDI DI INSERIMENTO

Tutte le principali sedi di Italia dove Engineering è presente, come:

Roma | Milano | Torino | Bologna | Palermo | Napoli | Firenze | Genova |Padova

L’annuncio è rivolto a tutti i candidati, senza distinzione di sesso, nel rispetto del Codice delle pari opportunità di cui al D.Lgs. 198/2006 e ss.mm.ii.",Prompt Engineer,Engineering Group,10001+ employees,IT Services and IT Consulting,Italy
"About the Job

As a Prompt Engineer, you�ll make our chatbots smarter and more personal so they can help customers more efficiently and in a friendlier way. You�ll control LLMs with smart prompts, build prototype agents in Python with LangChain, and analyze model outputs (using AI as well). With your findings, you�ll improve the agents step by step�making our chatbots better every day.

What Will You Do as a Prompt Engineer at Coolblue?

Design and build conversational customer journeys with intelligent prompts.

Continuously improve chatbots so they get smarter and faster at helping customers.

Write prompts, build prototypes, and test outputs at scale for accuracy.

Work daily on creating and refining multi-agent setups using frameworks like LangChain.

Develop prototypes and run systematic evaluations (e.g., using evals and LLM-as-a-judge) to measure performance and quality.

Explore ways to make chatbot interactions more natural and reliable.

Actively brainstorm on new applications of AI across existing processes.

?? Fun twist: Instead of a motivation letter, send us the prompt you�d use to generate one�so we get a preview of your prompt engineering skills.

Things You�ll Enjoy Doing

Collaborating intensively with colleagues across domains to discover AI applications in their fields

Experimenting with cutting-edge generative AI models (e.g., OpenAI, Google, Anthropic)

Proving value by building LangChain prototypes

Systematically evaluating results by testing prompts not just once, but 1,000 times automatically

Sharing knowledge through demos, training sessions, and sparring with peers inside Coolblue

What Defines You

A completed university degree (WO-level); AI experience from studies is a plus

At least 3 years� experience in a technical, data-driven environment (preferably in a Scrum team)

Strong Python skills; experience with LangChain or other AI frameworks is a plus

An insatiable hunger for everything related to Generative AI

Ability to outsmart ChatGPT with clever prompts

Analytical, pragmatic, and comfortable with �hacky� solutions when needed

Excellent communication skills in Dutch and English

What You�ll Get

?? A competitive salary

?? Access to 30+ training courses in our in-house �Studiefabriek�

?? Discounts on all Coolblue products

?? 25 vacation days (as long as you promise to come back)

?? Travel allowance and pension plan

?? A stunning office just 2 minutes� walk from Rotterdam Central Station

?? A legendary work atmosphere with fresh lunches, monthly drinks, unforgettable Coolblue parties, team activities, and a fun, playful culture

?? Freedom for new initiatives and ideas, whether you�ve been here a week or a year

?? Challenging work that fully absorbs you (so much that you might forget it�s work)

?? A flat organization where you can grab a beer with the boss",Coolblue,Prompt Engineer,5001-10000 employees,Computers and Electronics Manufacturing,Netherlands
"About Us

Overstappen.nl is one of the largest online comparison platforms for financial products and services, such as insurance, energy, and sustainability. Overstappen.nl is part of RISK, an Insurtech Service Provider based in Utrecht, Zwolle, and Amsterdam. More than 150 colleagues work with passion and dedication to deliver outstanding customer service�and ideally, to make customers happy too. Increasingly, insurance advisors, comparison websites, and insurers are choosing RISK�s innovative solutions.

At RISK, IT and AI are essential. That�s why we�re looking for a new AI colleague to join our 35-person IT & AI team, helping RISK and Overstappen.nl continue to innovate and grow.

RISK has a highly informal culture: colleagues are direct, there are no layers of management, and responsibilities lie with the teams. We work hard, but also laugh a lot. Our office is modern and features a game room, brainstorming spaces, and a cozy (free) company restaurant. Flexibility and opportunities for growth are central to how we work.

Your Role

As a Prompt Engineer at RISK, you will play a central role in optimizing our interaction with Large Language Models (LLMs) and generative AI applications. You will design, implement, and refine advanced prompts to maximize the potential of these technologies for both internal and client projects. You will collaborate closely with data scientists, AI specialists, and business stakeholders to create innovative solutions.

Your responsibilities include:

Designing, developing, and implementing complex, effective prompts for varied use cases (text generation, summarization, data extraction, creative content, code generation, etc.)

Systematically testing, evaluating, and optimizing LLM outputs with diverse prompt engineering techniques

Analyzing performance and identifying opportunities to improve both prompts and underlying models

Developing and documenting best practices, standards, and guidelines for prompt engineering within the organization

Researching cutting-edge developments in prompt engineering and LLMs

Collaborating with project teams to integrate LLM-based solutions into client projects and internal processes

Taking a leading role in shaping the company�s AI strategy around language models

Who You Are

You are enthusiastic, highly curious, and thrive in teamwork. Your passion for AI drives you to experiment and apply solutions immediately.

Additionally, you have:

A completed technical or business degree (Bachelor�s or Master�s level)

2�5 years of professional experience, with at least 1 year as a Prompt Engineer or in a similar LLM-intensive role

A strong understanding of LLM architectures, capabilities, applications, and limitations

Analytical and problem-solving skills combined with a can-do mindset

Strong communication skills: you can explain complex technical concepts clearly and manage stakeholders effectively

Programming experience in Python (you may use AI to support you, but you understand the code)

What We Offer

A challenging, impactful role in a growing, innovative company

The opportunity to work with cutting-edge AI technologies and contribute to exciting projects

An environment that encourages innovation and initiative

Professional and personal development opportunities through training and knowledge sharing

A competitive salary (�3,200 � �4,200) plus excellent secondary benefits

Flexibility to work 4 or 5 days per week

A modern, well-connected office in Utrecht (accessible by public transit and car)

How to Apply

Are you the experienced, driven Prompt Engineer we�re looking for?
Send your �prompted� CV to solliciteren@risk.nl
. We will review your application and quickly schedule an interview.",Prompt Engineer,Overstappen.nl,51-200 employees,Financial Services,Netherlands
"About the Role

As a Prompt Engineer, you will play a key role in designing, testing, and optimizing prompts for generative AI tools such as ChatGPT. These tools will be integrated into customer interactions within the mortgage process, an industry that is undergoing rapid digital transformation.

Responsibilities

Develop and refine prompts for LLMs, including RAG models

Apply generative AI within commercial software solutions

Contribute ideas on how AI can further automate the mortgage process

Who We�re Looking For

1�5 years of experience in prompt engineering, NLP, LLMs, or related AI applications

A combined commercial and technical mindset

Fluent in Dutch (C2 level) � essential due to legal/financial context

Knowledge of mortgages or financial services is a strong plus

Work Environment

You�ll join a forward-looking mortgage advisory company that is leveraging technology to shorten processes from weeks to days. The team (~50 people) works closely together toward the ambition of becoming fully LLM-driven within five years.

About the Recruiter

This vacancy is posted by Harnham, a leading recruitment agency specializing in Data & AI. All applications are treated equally and fairly.",Prompt Engineer,Harnham,201-500 employees, Staffing and Recruiting, Netherlands
"About the Job

Ring Publishing (by Ringier Axel Springer Polska) is looking for a Prompt Engineer to help develop a modern AI-powered CMS. You�ll join a team building intelligent solutions for creating and managing content with the latest AI technologies, especially LLMs.

Ring Publishing is a comprehensive digital publishing platform supporting media brands worldwide, including Onet, Newsweek, Fakt, and many others. With AI tools and automation, the platform assists editors and journalists in twelve countries by suggesting content, improving SEO, generating translations and summaries, supporting tagging and categorization, and much more.

Key Responsibilities

Build and maintain web tools for editorial teams to test prompts across LLMs (e.g., GPT-4, Claude, Gemini)

Test and optimize prompts to increase accuracy, consistency, and quality of AI outputs

Analyze AI results and iterate to improve performance and reliability

Collaborate with editors, developers, product managers, and analytics teams to implement AI-powered solutions

Create documentation and test suites for validating prompts

Track AI trends and evaluate new tools for potential adoption

Requirements

Strong knowledge of LLMs (OpenAI, Gemini, Bard, LLaMA)

Familiarity with prompting techniques (e.g., chaining, RAG, zero-shot)

Experience with JavaScript, TypeScript, Node.js and building web applications

Ability to evaluate and analyze AI-generated responses

Analytical thinker with an iterative problem-solving approach

Strong communication and documentation skills

Experience with AI APIs, integrations, NLP fundamentals, and data handling

Nice to have:

Experience with Palantir AIP and Foundry

Knowledge of Git version control

Basic experience with AWS Lambda

Compensation

Employment contract (UoP): 10,500 � 17,500 PLN gross (+ option for copyright tax benefits)

B2B contract: 12,200 � 20,300 PLN net

Perks & Benefits

Transparent career paths and supportive �no blame� culture

High autonomy and ownership in your work

Private medical care (LuxMed)

Life insurance for you and your family

Mental health & well-being support (6 free consultations per year)

Multisport card & sports initiatives

Modern offices with an in-house gym, yoga, kettlebell classes

Internal tech community: Lightning Talks, Hack Days, Code Jams

Access to AI trainings, GitHub Copilot, and the AI Academy

Dedicated AI training programs to develop your skills",Prompt Engineer,Ringier Axel Springer Polska,1001-5000 employees, Media and Technology,Poland
"About Us

VUFINDER Studios is a creative-technology studio combining artistry with cutting-edge AI tools. We are seeking a Senior AI Video Prompt Engineer to join our team producing films with AI-driven tools.

We don�t expect a PhD in machine learning�we�re looking for a skilled creator who thinks visually, knows graphic and media tools, and isn�t afraid to explore new technologies.

Your Role

As a Senior AI Video Prompt Engineer, you will design and optimize generative AI pipelines for video production. This role emphasizes quality, consistency, and innovation in generative video workflows.

Your responsibilities include:

Designing and implementing AI pipelines for video production

Developing and refining prompts to achieve consistent, creative video results

Evaluating and selecting generative models (e.g., Stable Diffusion XL, Gen-2/Gen-1 Video, Runway)

Collaborating with AI specialists and producers to transform AI video into an efficient production process

Exploring, testing, and deploying new generative AI tools into production

Who We�re Looking For

Documented experience with generative AI for video production (not just experiments�daily work building and optimizing prompts and pipelines)

Understanding of end-to-end prompt-to-video workflows and best practices for repeatable results

Strong portfolio or real-world case studies showcasing AI video projects

Ability to thrive in a B2B, on-site environment in Warsaw, with quick adoption of innovations

Nice to have:

Basic programming skills (Python, Node.js, Bash or similar) for LoRA training, pipeline automation, and integration of generative models

What We Offer

Full-time B2B contract based in Warsaw

Opportunities to work on both commercial and creative projects

A chance to define the standard of AI video in Poland and across Europe

Real career growth in a pioneering sector

How to Apply

If this sounds like you, please send us:

A short CV

Your portfolio or project examples with generative AI video

A few sentences about your approach to prompt engineering and automation

?? Apply via email: rekrutacja@vufinder.co", AI Video Prompt Engineer,VUFINDER STUDIOS,11-50 employees,Movies and Video Production,Poland
"About the job
Prompt Engineer / LLM Specialist – Hybrid or Remote (Poland)

Contract type: B2B (long-term)

Duration: 12+ months, with extension potential

Industry: Financial sector

Start date: Negotiable

Work model: Hybrid

Role Summary:

We are looking for an expert in Large Language Models (LLMs) to help build advanced AI solutions tailored to real business needs. The role focuses on fine-tuning language models, prompt optimization, and deploying systems based on technologies such as Retrieval-Augmented Generation (RAG) integrated with vector databases.

Main Responsibilities:

Craft and refine prompts for a variety of use cases: content generation, summarization, data extraction.
Fine-tune pre-trained LLMs with custom data to boost relevance and performance.
Develop RAG-based applications with integrated vector search capabilities.
Ensure AI solutions align with ethical principles such as fairness, transparency, and accountability.
Collaborate with cross-functional teams to align technical solutions with business priorities.
Contribute to development efforts in NLP, AI, and machine learning.
Work with Python and SQL; use GitHub and CI/CD for automation and versioning.
Deploy solutions on cloud platforms – Azure or GCP depending on expertise.
Communicate complex AI concepts to both technical and non-technical stakeholders.

Key Requirements:

5+ years of hands-on experience in NLP, AI, and ML development.
Strong understanding of LLM architecture and model fine-tuning.
Proven expertise in prompt engineering, RAG techniques, and vector database integration.
Proficiency in Python and SQL.
Experience with CI/CD and version control systems.
Solid working knowledge of cloud platforms (Azure and/or GCP).
Excellent communication skills and the ability to explain technical topics clearly in English.

Nice to Have:

Experience with OpenAI or similar AI platforms.
Familiarity with ethical AI standards and practices.
Experience in the financial sector.

Other Details:

This position allows for a hybrid or remote work model, with a focus on long-term collaboration through engaging and challenging international projects in the financial sector.",Prompt Engineer / LLM Specialist,emagine,1001-5000 employees,IT Services and IT Consulting,Poland
"About the job
Prompt Engineer



Work Remote - Full Time



Imagine shaping the future of online retail, live. Powerfront Inc. (www.powerfront.com) isn't just another SaaS provider; we're the architects of the INSIDE™ Customer Visual Engagement Platform, an AI-powered game-changer that allows brands to see their online world in real-time. We're talking about live customer behavior tracking and the power to engage at the precise moment of impact. Forget static analytics—we're revolutionizing customer interaction for industry titans like Gucci, Valentino, Staples, Rooms To Go and Lenovo.


We’re a global, fully remote team fueled by passion and a shared obsession with cutting-edge technology. We are fully committed to the future of AI, with the majority of our development work focused on account AI and intelligent customer engagement. We believe AI is the foundation of modern customer experience and are dedicated to building solutions that leverage its full potential.We’re not just building software; we’re forging strategic partnerships that redefine customer engagement.


If you're driven to tackle complex challenges, thrive in a dynamic, collaborative environment, and want to leave your mark on the next generation of e-commerce, Powerfront is your launchpad. This isn’t just a job; it’s a career-defining opportunity to be part of a team transforming how the world connects with brands.


Powerfront Staff 2021



We are looking for a highly motivated game-changer to join our team. This is an amazing opportunity for an individual who loves being on the cutting edge of AI technology.



Key Responsibilities



Design, test, and refine prompts for AI models to optimize output quality and relevance.
Conduct research and experimentation to improve prompt engineering techniques.
Collaborate with product teams to refine AI-generated responses.
Analyze AI model behavior and performance, providing insights to improve accuracy and effectiveness.
Create structured documentation and guidelines for best practices in prompt engineering.
Stay updated on advancements in AI language models and contribute to knowledge sharing within the team.
Conduct A/B testing on prompt variations to maximize output quality and efficiency.
Assist in training AI models by curating datasets and refining inputs.
Various other tasks as assigned by manager.


Key Requirements



Bachelor's or higher degree in Computer Science, Linguistics, AI, or a related field.
Strong understanding of AI language models (e.g., GPT, Llama, Claude) and natural language processing (NLP).
Experience in crafting and fine-tuning prompts for AI models.
Proficiency in Python and familiarity with AI/ML frameworks (e.g., TensorFlow, PyTorch).
Analytical mindset with the ability to interpret model outputs and optimize performance.
Excellent problem-solving skills and the ability to work in a fast-paced environment.
Strong communication skills and a collaborative mindset.


Summary of Benefits

A dynamic & forward-thinking organization revolutionizing retail technology
A virtual workforce, remote but highly interactive and collaborative
Competitive salary and benefits
Be a part of an amazing culture with a high client and staff retention
Take pride in partnering with the most prestigious brands in the world
Career progression and longevity


About Powerfront



Powerfront is a leading provider of customer engagement technology and solutions. The company’s proprietary engagement software INSIDE™ provides real-time actionable intelligence that beautifully orchestrates an expanding ecosystem of communication platforms that has transformed the online retail experience.


INSIDE can be leveraged in a variety of configurations to meet customers’ needs. Its open architecture enables customers in the luxury retail, fashion, travel, automotive, finance, and government sectors to easily deploy direct connections to their end-users while leveraging the power of data visualization and AI to drastically improve operational efficiency and effectiveness.




Note: The purpose of this profile is to provide a general summary of essential responsibilities for the position and is not meant as an exhaustive list. Assignments may differ for individuals within the same role-based on business conditions, departmental need, or geographic location. Powerfront provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability, or genetics.",Prompt Engineer,Powerfront,51-200 employees,Software Development,Portugal
